nombre,precio,codigo,estado,esPedido,img,descripcion
Collar dije punto de luz circón base alta,16.0,[P-CDD-123],disponible,FALSE,cadenas_dijes/P-CDD-123.jpg,Collar en Plata ley 925 dije punto de luz circón base alta
Collar dije estrella media luna microcircones,22.5,[P-CDD-120],disponible,FALSE,cadenas_dijes/P-CDD-120.jpg,Collar en Plata ley 925 dije estrella media luna microcircones
Collar dije lazo cristal blanco,20.0,[P-CDD-226],disponible,FALSE,cadenas_dijes/P-CDD-226.jpg,Collar en Plata ley 925 dije lazo cristal blanco
Collar dije punto de luz circón bicel,16.0,[P-CDD-122],disponible,FALSE,cadenas_dijes/P-CDD-122.jpg,Collar en Plata ley 925 dije punto de luz circón bicel
Collar dije mariposa microcircones,22.5,[P-CDD-121],disponible,FALSE,cadenas_dijes/P-CDD-121.jpg,Collar en Plata ley 925 dije mariposa microcircones
Collar dije estrella circones blancos,22.5,[P-CDD-119],disponible,FALSE,cadenas_dijes/P-CDD-119.jpg,Collar en Plata ley 925 dije estrella circones blancos
Collar baño en oro rosa rombo,14.0,[P-CDD-262],disponible,FALSE,cadenas_dijes/P-CDD-262.jpg,Collar en plata ley 925 baño en oro rosa rombo
Cadena con dije perla solitario gold,10.0,[P-CDD-223],disponible,FALSE,cadenas_dijes/P-CDD-223.jpg,Cadena con dije perla solitario gold plata 925
Collar baño rodio media luna saturno ópalo,14.0,[P-CDD-168],disponible,FALSE,cadenas_dijes/P-CDD-168.jpg,Collar plata 925 baño rodio media luna saturno ópalo
Collar dije inicial microcircones,10.75,[P-CDD-152],disponible,FALSE,cadenas_dijes/P-CDD-152.jpg,Collar en plata ley 925 dije inicial microcircones 9 mm
Cuarzo natural,18.0,[P-CDD-244],disponible,FALSE,cadenas_dijes/P-CDD-244.jpg,En plata ley 925 cuarzo natural
Collar dijes van cleef,23.0,[P-CDD-236],disponible,FALSE,cadenas_dijes/P-CDD-236.jpg,Collar en plata ley 925 dijes van cleef
Collar baño rodio tono rosa harry potter,14.0,[P-CDD-179],disponible,FALSE,cadenas_dijes/P-CDD-179.jpg,Collar plata 925 baño rodio tono rosa harry potter
Cadena con dije cubo cristal gold,10.0,[P-CDD-221],disponible,FALSE,cadenas_dijes/P-CDD-221.jpg,Cadena con dije cubo cristal gold plata 925
Collar baño rodio llave saturno ópalo,14.0,[P-CDD-170],disponible,FALSE,cadenas_dijes/P-CDD-170.jpg,Collar plata 925 baño rodio llave saturno ópalo
Collar dijes mariposa,23.0,[P-CDD-239],disponible,FALSE,cadenas_dijes/P-CDD-239.jpg,Collar en plata ley 925 dijes mariposa
Collar baño oro gold rose doble círculo,15.0,[P-CDD-253],disponible,FALSE,cadenas_dijes/P-CDD-253.jpg,Collar en plata ley 925 baño oro gold rose doble círculo
Collar dijes cruces,18.0,[P-CDD-235],disponible,FALSE,cadenas_dijes/P-CDD-235.jpg,Collar en plata ley 925 dijes cruces
Collar dije inicial microcircones 1.,12.75,[P-CDD-128],disponible,FALSE,cadenas_dijes/P-CDD-128.jpg,Collar en plata ley 925 dije inicial microcircones 1.2 cm
Collar baño rodio látido corazón,14.0,[P-CDD-166],disponible,FALSE,cadenas_dijes/P-CDD-166.jpg,Collar plata 925 baño rodio látido corazón
Collar baño rodio círculo cristales,14.0,[P-CDD-245],disponible,FALSE,cadenas_dijes/P-CDD-245.jpg,Collar plata 925 baño rodio círculo cristales
Collar van cleef negro,25.0,[P-CDD-114],disponible,FALSE,cadenas_dijes/P-CDD-114.jpg,Collar en plata ley 925 van cleef negro
Cadena con dije cilindro,10.0,[P-CDD-219],disponible,FALSE,cadenas_dijes/P-CDD-219.jpg,Cadena con dije cilindro plata 925
Collar baño rodio tono rosa circón punto de luz,14.0,[P-CDD-178],disponible,FALSE,cadenas_dijes/P-CDD-178.jpg,Collar plata 925 baño rodio tono rosa circón punto de luz
Collar círculo sol,23.0,[P-CDD-237],disponible,FALSE,cadenas_dijes/P-CDD-237.jpg,Collar en plata ley 925 círculo sol
Collar baño rodio dorado pez perlitas,14.0,[P-CDD-172],disponible,FALSE,cadenas_dijes/P-CDD-172.jpg,Collar plata 925 baño rodio dorado pez perlitas
Collar doble círculos cristales,23.0,[P-CDD-110],disponible,FALSE,cadenas_dijes/P-CDD-110.jpg,Collar en plata ley 925 doble círculos cristales
Collar círculo nácar,17.0,[P-CDD-256],disponible,FALSE,cadenas_dijes/P-CDD-256.jpg,Collar en plata ley 925 círculo nácar
Collar dije barrita circones cadenita cristal blan,20.0,[P-CDD-116],disponible,FALSE,cadenas_dijes/P-CDD-116.jpg,Collar en Plata ley 925 dije barrita circones cadenita cristal blanco
Collar dije perla,20.0,[P-CDD-101],disponible,FALSE,cadenas_dijes/P-CDD-101.jpg,Collar en Plata ley 925 dije perla
Collar dije cristal cuadrado blanco,22.0,[P-CDD-117],disponible,FALSE,cadenas_dijes/P-CDD-117.jpg,Collar en Plata ley 925 dije cristal cuadrado blanco
